gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card,62.99,3445.4,0
Male,1,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Two year,Yes,Bank transfer,76.47,539.4,0
Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,No,Credit card,76.06,391.58,0
Female,0,Yes,No,6,Yes,No,DSL,No internet service,No,No,Month-to-month,Yes,Electronic check,62.07,401.1,1
Male,0,Yes,Yes,72,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer,27.86,2035.85,0
Female,0,No,No,23,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,63.32,1456.2,0
Female,0,Yes,No,6,Yes,No phone service,No,Yes,No internet service,No internet service,One year,No,Mailed check,18.0,195.36,0
Male,0,Yes,No,55,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Credit card,49.39,2764.44,0
Female,0,Yes,No,15,Yes,No,Fiber optic,No,No internet service,Yes,Month-to-month,No,Credit card,75.15,1108.83,1
Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,88.99,6088.98,0
Male,0,No,Yes,9,Yes,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,47.62,391.94,0
Male,0,No,No,14,Yes,No,No,Yes,No,No,Two year,No,Mailed check,25.55,343.69,0
Female,1,No,Yes,21,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card,39.57,904.38,0
Male,0,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,51.43,3413.7,1
Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,63.89,3866.18,1
Male,1,No,No,25,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,78.62,2024.06,1
Female,0,Yes,No,7,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,22.91,187.76,1
Female,0,Yes,No,15,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,22.97,304.05,0
Female,0,Yes,No,72,Yes,Yes,DSL,No internet service,No,Yes,One year,Yes,Electronic check,38.86,2881.33,0
Male,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,Two year,Yes,Mailed check,63.81,1812.47,0
Male,0,Yes,No,45,Yes,No phone service,DSL,Yes,No internet service,Yes,One year,Yes,Credit card,43.71,1996.25,0
Male,0,No,No,17,Yes,Yes,DSL,Yes,No,No,Two year,No,Electronic check,38.7,660.64,0
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,61.56,1409.85,0
Male,0,No,No,16,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Mailed check,49.58,889.03,1
Male,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,93.98,3364.66,1
Female,0,Yes,Yes,57,No,No,Fiber optic,No,No internet service,No internet service,One year,Yes,Electronic check,82.84,4774.95,0
Male,1,Yes,Yes,21,Yes,No phone service,No,No,No internet service,Yes,Two year,No,Credit card,31.73,668.0,0
Male,1,No,No,19,Yes,No,DSL,No internet service,No,No,Month-to-month,Yes,Credit card,70.5,1239.51,1
Male,0,No,No,12,Yes,No phone service,Fiber optic,No,No internet service,No internet service,One year,No,Credit card,89.31,1001.56,0
Male,0,Yes,No,5,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Credit card,56.67,304.55,1
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,One year,No,Mailed check,61.78,4498.8,0
Male,0,Yes,No,11,Yes,No,DSL,No internet service,No,Yes,Month-to-month,Yes,Electronic check,54.54,630.42,1
Female,1,Yes,No,48,Yes,No,No,No internet service,No,No,Two year,Yes,Electronic check,43.0,2102.66,0
Female,0,Yes,Yes,37,Yes,No phone service,DSL,Yes,No,No,One year,Yes,Credit card,54.11,2131.67,0
Male,0,Yes,Yes,46,Yes,Yes,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,49.31,2294.81,0
Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,102.66,7378.3,0
Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,82.21,2377.87,0
Male,0,Yes,Yes,68,Yes,No,DSL,No internet service,Yes,No,Month-to-month,Yes,Mailed check,57.89,4018.47,0
Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,58.61,229.59,0
Female,0,No,No,29,Yes,No,DSL,Yes,No internet service,No internet service,Two year,No,Credit card,53.69,1618.95,0
Male,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No internet service,One year,No,Mailed check,85.65,3769.43,0
Female,1,No,Yes,9,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Credit card,101.76,874.3,1
Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Mailed check,74.07,2890.22,0
Female,0,No,No,45,Yes,No,No,No internet service,No,No internet service,Two year,No,Bank transfer,31.41,1487.4,0
Male,0,No,No,53,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Credit card,90.46,4751.63,0
Female,1,No,Yes,11,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Credit card,42.6,471.73,0
Male,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,One year,No,Electronic check,84.12,2811.25,0
Male,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,80.63,904.56,0
Female,0,No,No,40,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,56.49,2264.52,1
Male,1,Yes,Yes,18,Yes,No phone service,DSL,Yes,Yes,No,Month-to-month,Yes,Mailed check,54.47,913.06,0
Female,1,Yes,No,27,Yes,No,DSL,No,Yes,No,Month-to-month,No,Bank transfer,62.83,1675.05,0
Female,0,Yes,Yes,16,Yes,No,No,Yes,No internet service,No,Month-to-month,No,Credit card,39.91,708.28,0
Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No internet service,Two year,Yes,Electronic check,96.39,433.1,0
Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,Two year,Yes,Mailed check,66.22,313.03,1
Male,1,Yes,No,2,Yes,Yes,No,No,No,No internet service,One year,No,Electronic check,19.25,97.87,0
Female,0,No,Yes,28,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Credit card,89.59,2525.5,1
Male,0,No,No,56,Yes,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes,Credit card,66.04,3637.41,0
Female,0,No,No,0,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,28.38,11.17,0
Male,0,No,Yes,2,Yes,No phone service,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Electronic check,72.3,136.96,1
Male,1,No,No,18,Yes,No,DSL,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,67.7,1221.25,0
Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,81.95,3325.19,1
Male,1,No,Yes,5,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Mailed check,88.09,452.46,0
Female,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Credit card,82.27,735.83,0
Male,0,No,No,7,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,36.61,249.15,1
Female,1,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Mailed check,75.04,1179.46,0
Male,0,No,No,7,Yes,No,DSL,No,No,No internet service,Month-to-month,Yes,Mailed check,60.29,386.04,1
Female,0,Yes,No,13,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,23.52,197.31,0
Male,0,Yes,Yes,39,Yes,Yes,DSL,No,No,No internet service,Month-to-month,Yes,Bank transfer,65.62,2548.09,0
Male,1,Yes,Yes,28,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,51.24,1453.57,1
Female,1,Yes,No,2,Yes,No,DSL,No internet service,No internet service,Yes,One year,No,Electronic check,48.04,75.26,0
Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,No,Electronic check,79.27,2351.95,1
Male,0,No,Yes,19,Yes,No,DSL,No,No,No,Month-to-month,No,Electronic check,38.9,720.89,0
Male,0,Yes,No,72,Yes,Yes,DSL,No internet service,No,No,Two year,Yes,Electronic check,53.34,3839.04,0
Male,0,No,No,10,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,29.36,228.71,0
Female,0,No,No,38,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer,25.99,1020.7,0
Female,0,Yes,No,39,Yes,No phone service,No,No,No,No,Month-to-month,No,Bank transfer,18.0,568.88,0
Female,0,Yes,No,7,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,26.92,215.43,0
Female,0,No,No,70,Yes,Yes,DSL,No,No internet service,Yes,Two year,Yes,Mailed check,71.23,5001.57,0
Male,0,Yes,No,20,Yes,Yes,DSL,No,No,No,One year,No,Credit card,72.23,1469.53,0
Female,1,No,No,34,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.24,1237.84,0
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,No,Credit card,50.33,215.96,1
Male,0,Yes,No,8,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,36.41,264.19,1
Male,0,No,No,26,Yes,No,Fiber optic,No internet service,Yes,No,Two year,No,Bank transfer,68.73,1866.97,0
Male,0,Yes,Yes,11,Yes,No,DSL,No internet service,No,No,Month-to-month,Yes,Electronic check,58.34,659.87,1
Male,0,No,Yes,20,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer,51.35,968.09,0
Male,1,Yes,No,14,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card,32.78,374.43,0
Female,0,Yes,No,30,Yes,No phone service,Fiber optic,No,Yes,No internet service,One year,No,Credit card,69.79,2062.95,0
Female,0,No,No,20,Yes,No phone service,DSL,No,No,No internet service,Two year,No,Credit card,58.09,1202.33,0
Male,0,No,No,0,Yes,No,DSL,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.37,57.62,0
Female,0,No,Yes,31,Yes,Yes,Fiber optic,Yes,No internet service,No,One year,No,Bank transfer,88.29,2745.93,0
Female,0,Yes,No,16,Yes,No phone service,DSL,No,Yes,No internet service,Two year,No,Mailed check,56.94,915.08,0
Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,46.38,540.0,0
Female,0,Yes,No,2,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,69.34,137.61,0
Male,0,Yes,No,7,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,No,Credit card,67.59,533.95,0
Female,0,No,No,7,Yes,No,DSL,No,Yes,Yes,One year,Yes,Credit card,52.4,349.47,0
Male,0,No,Yes,72,No,No,DSL,No,No,Yes,One year,No,Mailed check,54.0,3920.81,0
Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Electronic check,84.64,1327.8,0
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Electronic check,87.64,138.3,0
Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,18.13,101.47,0
Female,0,No,No,2,Yes,Yes,DSL,No,No,No internet service,Two year,Yes,Electronic check,67.79,184.19,0
Female,0,Yes,No,26,Yes,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Credit card,37.98,1081.56,0
Female,0,No,No,6,Yes,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Bank transfer,78.22,340.2,1
Male,1,No,Yes,20,Yes,No,Fiber optic,No internet service,No,No,One year,Yes,Bank transfer,60.22,1242.09,0
Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,No,Yes,One year,Yes,Mailed check,77.09,1025.65,0
Male,1,No,No,48,Yes,No,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Electronic check,87.98,4245.59,0
Male,0,Yes,No,11,Yes,No phone service,DSL,No,Yes,No internet service,Two year,No,Credit card,77.37,863.11,0
Female,0,Yes,No,18,Yes,No phone service,DSL,No,No,No,Two year,Yes,Bank transfer,49.79,908.17,0
Male,0,Yes,Yes,38,Yes,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Credit card,47.36,1816.31,0
Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,Mailed check,84.15,1475.91,0
Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer,66.44,3164.17,0
Male,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,70.07,2241.12,1
Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,94.55,1408.93,1
Male,1,No,No,21,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer,34.05,715.97,0
Male,0,No,No,72,Yes,Yes,DSL,No,No,No internet service,One year,Yes,Bank transfer,46.85,3352.81,0
Male,0,Yes,No,32,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,No,Bank transfer,48.25,1633.12,0
Male,0,Yes,No,70,Yes,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,No,Electronic check,89.76,6219.36,0
Male,0,No,No,5,Yes,No,No,No,No internet service,Yes,One year,Yes,Credit card,34.2,208.47,0
Female,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card,64.58,1264.24,0
Male,0,Yes,Yes,71,Yes,No,DSL,No,Yes,No,Two year,Yes,Electronic check,59.04,4165.5,0
Female,0,Yes,No,11,Yes,No,Fiber optic,No internet service,Yes,Yes,Two year,No,Credit card,43.56,493.97,0
Male,0,No,Yes,72,Yes,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,36.59,2697.79,1
Male,0,No,No,3,Yes,No,No,No,No,No internet service,Two year,Yes,Bank transfer,21.27,47.32,1
Male,0,Yes,No,69,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,30.09,2142.13,0
Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Credit card,120.0,2095.91,0
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,One year,No,Electronic check,85.68,135.87,0
Male,0,No,No,63,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Mailed check,82.21,5123.65,0
Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,86.44,699.82,1
Male,0,No,No,0,Yes,No phone service,No,No,No internet service,No,Two year,Yes,Electronic check,18.0,0.0,0
Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer,93.94,230.53,1
Female,0,No,Yes,32,No,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,85.42,2708.81,0
Male,0,No,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,84.73,6209.1,0
Female,0,No,No,3,Yes,No,Fiber optic,No,No internet service,No,One year,Yes,Credit card,70.64,189.56,1
Male,1,Yes,No,18,Yes,No,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Credit card,56.54,1036.61,0
Female,0,Yes,No,5,Yes,No,No,No,Yes,No internet service,One year,Yes,Credit card,32.62,198.1,0
Male,0,No,No,40,Yes,Yes,DSL,No,No,No,Two year,Yes,Mailed check,38.46,1536.4,0
Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,73.33,203.31,1
Female,0,Yes,No,8,No,No,Fiber optic,Yes,No,No,One year,No,Mailed check,84.38,736.44,0
Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,76.51,461.08,0
Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,Two year,Yes,Credit card,86.46,2070.44,0
Female,0,No,No,61,Yes,No,DSL,No,No,No internet service,Two year,No,Electronic check,46.28,2862.96,0
Male,0,Yes,Yes,21,Yes,Yes,DSL,No,No,No,Month-to-month,No,Credit card,32.44,629.76,0
Female,0,Yes,Yes,1,Yes,No,DSL,Yes,No,Yes,One year,Yes,Electronic check,64.68,1.52,0
Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,39.41,864.66,1
Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,77.52,3671.97,1
Female,0,No,Yes,4,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,18.35,65.21,0
Male,0,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,42.92,127.16,0
Female,0,No,No,6,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,29.93,182.12,0
Female,0,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,91.96,3701.96,1
Male,0,No,No,26,Yes,Yes,No,No,No,No,Two year,No,Mailed check,39.47,1008.51,0
Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.88,962.05,1
Male,1,Yes,Yes,8,Yes,No phone service,No,No internet service,No,Yes,Month-to-month,No,Credit card,39.83,305.56,0
Female,0,No,No,12,Yes,Yes,Fiber optic,No internet service,No,No internet service,One year,Yes,Mailed check,62.5,809.34,0
Male,0,Yes,No,72,Yes,No,DSL,No internet service,No,No,Two year,Yes,Bank transfer,43.93,3140.38,0
Male,0,Yes,No,8,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,31.1,284.78,0
Male,0,No,No,69,Yes,No,DSL,No,No,Yes,Month-to-month,No,Bank transfer,53.41,3596.38,0
Male,0,Yes,No,26,Yes,No,DSL,Yes,No internet service,No,Month-to-month,Yes,Electronic check,33.94,871.13,0
Female,0,No,No,3,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,23.96,52.54,0
Female,0,No,No,18,Yes,No,DSL,No internet service,No,No,Month-to-month,Yes,Mailed check,72.27,1230.96,1
Male,1,Yes,No,72,Yes,Yes,DSL,Yes,No,No,One year,Yes,Mailed check,57.93,4226.59,0
Female,0,No,Yes,16,Yes,Yes,DSL,No internet service,Yes,No,One year,Yes,Mailed check,63.58,985.35,0
Female,0,No,Yes,59,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer,35.36,2049.28,1
Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,54.91,504.34,1
Female,0,No,No,25,No,No,DSL,No,No,No,Two year,Yes,Electronic check,53.46,1344.48,0
Male,0,No,No,55,Yes,Yes,DSL,No,No,No internet service,Month-to-month,Yes,Electronic check,67.5,3751.51,0
Male,0,No,No,72,Yes,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,20.77,1410.24,0
Female,0,Yes,No,19,Yes,No,DSL,No,No,No internet service,One year,No,Electronic check,63.96,1175.4,0
Male,0,No,No,30,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,22.19,770.07,0
Male,0,Yes,No,0,No,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,32.27,42.7,0
Female,1,Yes,No,8,Yes,No,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Credit card,88.03,650.55,1
Male,1,No,Yes,9,Yes,Yes,Fiber optic,No internet service,No,No,One year,No,Bank transfer,81.46,744.43,0
Female,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,No,Electronic check,66.46,83.14,1
Male,0,Yes,No,9,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,No,Electronic check,56.46,577.82,0
Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,Yes,Two year,Yes,Bank transfer,48.06,415.16,0
Male,0,Yes,No,72,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,33.96,2458.78,0
Male,0,Yes,Yes,33,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer,25.85,865.9,0
Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Credit card,69.86,1062.06,0
Male,0,Yes,No,72,Yes,Yes,Fiber optic,No internet service,No,No internet service,One year,No,Bank transfer,42.25,3027.99,0
Female,0,No,Yes,4,Yes,No,DSL,No,Yes,Yes,One year,Yes,Electronic check,64.1,275.16,1
Male,0,No,Yes,19,Yes,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Bank transfer,51.34,886.57,0
Male,1,Yes,No,31,No,No,Fiber optic,No internet service,No internet service,No,Month-to-month,No,Credit card,74.38,2241.8,1
Female,0,No,No,1,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,26.28,18.52,1
Male,1,Yes,Yes,37,Yes,No,No,No internet service,No,No,Month-to-month,No,Bank transfer,29.35,1044.3,0
Female,0,No,No,3,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,82.64,224.77,0
Male,0,Yes,No,4,Yes,No,No,Yes,No internet service,Yes,One year,No,Mailed check,21.22,83.87,0
Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No internet service,Two year,Yes,Bank transfer,80.76,358.3,0
Female,1,Yes,Yes,72,Yes,Yes,DSL,No internet service,No internet service,No internet service,Two year,Yes,Credit card,34.22,2462.39,0
Male,0,No,No,34,Yes,Yes,DSL,No internet service,No,Yes,One year,No,Bank transfer,61.64,2110.57,0
Female,1,No,No,31,Yes,No,Fiber optic,No,No internet service,Yes,One year,No,Bank transfer,86.39,2717.03,0
Male,0,No,No,24,Yes,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,41.19,926.24,0
Male,1,Yes,No,10,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Electronic check,50.55,474.13,0
Female,0,Yes,No,29,Yes,No,DSL,No internet service,No,No,Two year,Yes,Mailed check,47.0,1392.34,0
Female,0,No,No,15,Yes,No phone service,Fiber optic,No,No,No internet service,One year,Yes,Electronic check,69.68,971.04,0
Female,0,No,Yes,4,Yes,No,Fiber optic,No internet service,No,No internet service,One year,No,Bank transfer,81.21,330.15,1
Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,67.19,2353.17,1
Male,1,Yes,No,4,Yes,Yes,DSL,Yes,Yes,No internet service,Month-to-month,No,Credit card,50.39,72.21,1
Male,0,Yes,Yes,6,Yes,No phone service,DSL,Yes,No internet service,No,Month-to-month,Yes,Credit card,40.16,216.26,0
Female,0,No,No,51,No,No,Fiber optic,Yes,Yes,No,Two year,No,Mailed check,90.44,4629.15,0
Female,1,Yes,No,32,Yes,No,DSL,No,No internet service,Yes,Month-to-month,Yes,Electronic check,50.7,1611.7,0
Female,0,Yes,Yes,29,Yes,Yes,DSL,No,No internet service,No internet service,Month-to-month,No,Bank transfer,61.31,1754.37,0
Female,0,Yes,Yes,16,Yes,No,DSL,No,No,No internet service,Two year,Yes,Credit card,50.52,816.09,0
Male,0,No,Yes,15,Yes,No,DSL,No,No,No,Month-to-month,No,Bank transfer,60.28,953.66,0
Female,0,No,No,35,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,34.04,1218.25,1
Male,0,Yes,Yes,40,Yes,Yes,DSL,No internet service,No,Yes,Month-to-month,No,Electronic check,51.46,2020.76,0
Male,0,Yes,No,21,Yes,No,DSL,No,No,No internet service,One year,No,Electronic check,45.58,884.22,0
Male,0,No,No,72,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Two year,Yes,Electronic check,89.7,6484.19,0
Male,0,No,Yes,72,No,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Credit card,68.67,4885.22,1
Male,0,Yes,Yes,15,Yes,No,Fiber optic,No internet service,No internet service,Yes,Two year,No,Credit card,47.2,681.56,0
Male,0,Yes,Yes,51,Yes,No phone service,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,50.83,2602.31,0
Female,0,Yes,No,23,No,No,Fiber optic,Yes,Yes,Yes,Two year,Yes,Electronic check,48.55,1173.89,0
Male,1,No,No,21,Yes,Yes,Fiber optic,No,No,No internet service,One year,No,Electronic check,65.13,1432.12,1
Female,0,No,Yes,1,Yes,No,DSL,No,No,Yes,Two year,Yes,Credit card,74.69,77.73,0
Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,71.47,1761.28,1
Male,0,No,No,69,Yes,No,Fiber optic,No,No,No,Two year,Yes,Bank transfer,92.31,6309.12,0
Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,One year,No,Mailed check,95.57,4398.37,0
Female,0,No,No,46,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer,61.98,2836.81,0
Male,0,Yes,No,5,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Two year,Yes,Mailed check,89.49,481.33,0
Male,0,No,No,13,No,No,DSL,No,No internet service,No,Month-to-month,No,Electronic check,55.69,733.8,0
Female,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,Two year,No,Bank transfer,57.15,375.28,0
Female,0,Yes,No,11,Yes,Yes,DSL,No,No internet service,Yes,Month-to-month,No,Bank transfer,52.16,546.84,0
Female,0,No,No,25,Yes,No,DSL,Yes,No,Yes,One year,Yes,Electronic check,38.49,893.09,0
Female,1,Yes,Yes,13,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,38.8,560.57,0
Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,48.6,1160.45,1
Male,0,Yes,No,17,Yes,No phone service,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Mailed check,77.29,1385.47,0
Male,0,No,No,10,No,No phone service,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Bank transfer,88.22,859.73,1
Female,0,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,63.23,174.8,1
Female,0,Yes,No,66,No,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,94.43,6175.44,0
Female,0,No,No,0,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Electronic check,87.6,0.0,0
Female,0,Yes,No,0,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,58.85,0.0,1
Female,0,No,No,52,Yes,Yes,DSL,No,No,No internet service,Month-to-month,No,Mailed check,57.42,3005.87,0
Male,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Mailed check,74.61,5377.45,0
Male,0,No,No,38,Yes,Yes,DSL,Yes,No,No,Month-to-month,No,Bank transfer,69.5,2714.67,1
Female,1,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,80.15,0.0,0
Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No internet service,Two year,Yes,Bank transfer,79.81,619.48,1
Male,0,Yes,No,72,Yes,No,DSL,Yes,No,Yes,One year,No,Credit card,72.85,5196.26,0
